shipment_id,order_id,status,shipped_at,delivered_at
S61,O61,delivered,2025-01-05,2025-01-05
S62,O62,shipped,2025-01-18,2025-01-19
S63,O63,delivered,2025-01-18,2025-01-23
S64,O64,delivered,2025-01-18,2025-01-22
S65,O65,shipped,2025-01-07,2025-01-09
S66,O66,delivered,2025-01-09,2025-01-14
S67,O67,shipped,2025-01-13,2025-01-18
S68,O68,shipped,2025-01-14,2025-01-15
S69,O69,shipped,2025-01-20,2025-01-21
S70,O70,delivered,2025-01-03,2025-01-07
S71,O71,delivered,2025-01-04,2025-01-04
S72,O72,delivered,2025-01-02,2025-01-07
S73,O73,delivered,2025-01-13,2025-01-14
S74,O74,shipped,2025-01-19,2025-01-23
S75,O75,delivered,2025-01-16,2025-01-17
S76,O76,shipped,2025-01-12,2025-01-12
S77,O77,delivered,2025-01-12,2025-01-13
S78,O78,shipped,2025-01-12,2025-01-14
S79,O79,shipped,2025-01-02,2025-01-02
S80,O80,shipped,2025-01-16,2025-01-21
